cypressVersion,browserName,browserVersion,osName,resolvedNodeVersion,overallDuration,video,noCommandLog
9.5.1,electron,94.0.4606.81,win32,16.13.2,12741,false,0 
9.5.1,electron,94.0.4606.81,win32,16.13.2,12204,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12293,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12077,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11900,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11895,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11878,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11925,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12144,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11862,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11816,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12065,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12079,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12006,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11924,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11728,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11770,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11865,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11824,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12436,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12368,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11890,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11985,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11679,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12105,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12070,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11869,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12012,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11899,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11861,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11858,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11918,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11827,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12085,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11826,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11738,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12071,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12100,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12078,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11787,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11638,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12055,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11901,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11797,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12110,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12451,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12196,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12023,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12103,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11887,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11937,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11875,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11934,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11966,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12031,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11913,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12013,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11860,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11963,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12967,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12361,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12866,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12577,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,13651,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12528,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12979,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12492,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12378,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12587,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,13005,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12623,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12501,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12298,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12165,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12052,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12064,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12016,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12175,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12083,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12228,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12282,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12109,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12248,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12256,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12373,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12333,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12504,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12861,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12672,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12150,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12211,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12338,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12250,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12787,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12461,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12752,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12477,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12277,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12379,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12371,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12026,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,12296,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,11933,false,1 
8.3.1,electron,91.0.4472.164,win32,14.16.0,110994,false,0 
8.3.1,electron,91.0.4472.164,win32,14.16.0,111361,false,1 
9.5.1,electron,94.0.4606.81,win32,16.13.2,111777,false,0 
9.5.1,electron,94.0.4606.81,win32,16.13.2,111597,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,120946,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,120235,false,1 
9.5.1,electron,94.0.4606.81,win32,16.13.2,113836,false,0 
9.5.1,electron,94.0.4606.81,win32,16.13.2,112898,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,118281,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,116400,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,116459,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,118114,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,117415,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,115921,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114143,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114722,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114535,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114448,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114110,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,115010,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114576,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,113992,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114799,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114699,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114643,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114148,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,115363,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114546,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114562,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114356,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,115324,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114274,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114523,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114536,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,115325,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114781,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,115003,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114773,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,115440,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,116376,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,113926,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,115242,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114710,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114597,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114606,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114991,false,1 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114814,false,0 
9.6.1,electron,94.0.4606.81,win32,16.13.2,114958,false,1 
