cypressVersion,browserName,browserVersion,osName,resolvedNodeVersion,overallDuration,video,noCommandLog
12.8.1,electron,106.0.5249.51,win32,18.12.1,175833,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,173774,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,174562,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172861,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172512,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172888,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172167,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172484,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172870,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172451,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,171535,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172574,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172601,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172894,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,173039,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172657,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172429,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172698,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,173186,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172807,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172281,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,171726,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,171282,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,171126,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,170961,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172355,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,171010,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172506,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,170276,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,170610,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,170376,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,171197,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,171840,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,171496,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,170785,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,170285,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,171394,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,169931,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,170325,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,169679,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,169677,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,169762,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,169884,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,170010,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,169684,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,169237,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,170364,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,170464,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,169780,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,169885,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,169986,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,170199,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,170308,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,170954,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,170624,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,169808,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,171092,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,170158,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,171156,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,171062,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,171408,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172256,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172573,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172440,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,173193,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,173662,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,173847,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,173422,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,173973,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172014,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,178112,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172154,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172488,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,174950,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172328,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172565,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172887,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172475,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,173362,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,173028,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172377,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,173568,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,174032,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,173247,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,172971,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,174047,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,174650,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,173423,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,173449,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,173106,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,175279,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,173135,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,173851,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,174299,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,174177,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,173366,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,175214,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,176361,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,175864,false,0
12.8.1,electron,106.0.5249.51,win32,18.12.1,176064,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,179155,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,173914,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,172090,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,171988,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,174209,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,174411,false,0
